"","num","cc","subversion","HR","IR","GE","PR","WI"
"1","0","BO",1,NA,"BOIR01FL.DTA",NA,NA,NA
"2","0","BR",1,NA,"BRIR01FL.DTA",NA,NA,NA
"3","0","BU",1,NA,"BUIR02FL.DTA",NA,NA,NA
"4","0","CO",1,NA,"COIR01FL.DTA",NA,NA,NA
"5","0","DR",1,NA,"DRIR01FL.DTA",NA,NA,NA
"6","0","EC",1,NA,"ECIR01FL.DTA",NA,NA,NA
"7","0","EG",1,NA,"EGIR01FL.DTA",NA,NA,NA
"8","0","ES",1,NA,"ESIR01FL.DTA",NA,NA,NA
"9","0","GH",1,NA,"GHIR02FL.DTA",NA,NA,NA
"10","0","GU",1,NA,"GUIR01FL.DTA",NA,NA,NA
"11","0","ID",1,NA,"IDIR01FL.DTA",NA,NA,NA
"12","0","KE",1,NA,"KEIR03FL.DTA",NA,NA,NA
"13","0","LB",1,NA,"LBIR01FL.DTA","LBGE03FL.shp",NA,NA
"14","0","LK",1,NA,"LKIR02FL.DTA",NA,NA,NA
"15","0","MA",1,NA,"MAIR01FL.DTA",NA,NA,NA
"16","0","ML",1,NA,"MLIR01FL.DTA",NA,NA,NA
"17","0","MX",1,NA,"MXIR01FL.DTA",NA,NA,NA
"18","0","OS",1,NA,"OSIR01FL.DTA",NA,NA,NA
"19","0","PE",1,NA,"PEIR01FL.DTA",NA,NA,NA
"20","0","SD",1,NA,"SDIR02FL.DTA",NA,NA,NA
"21","0","SN",1,NA,"SNIR02FL.DTA",NA,NA,NA
"22","0","TG",1,NA,"TGIR01FL.DTA","TGGE03FL.shp",NA,NA
"23","0","TH",1,NA,"THIR01FL.DTA",NA,NA,NA
"24","0","TN",1,NA,"TNIR02FL.DTA",NA,NA,NA
"25","0","TT",1,NA,"TTIR01FL.DTA",NA,NA,NA
"26","0","UG",1,NA,"UGIR01FL.DTA",NA,NA,NA
"27","0","ZW",1,NA,"ZWIR01FL.DTA",NA,NA,NA
"28","2","BF",1,"BFHR21FL.DTA","BFIR21FL.DTA","BFGE23FL.shp","BFPR21FL.DTA","BFWI21FL.DTA"
"29","2","BR",1,"BRHR21FL.DTA","BRIR21FL.DTA",NA,"BRPR21FL.DTA",NA
"30","2","CM",1,"CMHR22FL.DTA","CMIR22FL.DTA","CMGE23FL.shp","CMPR22FL.DTA","CMWI22FL.DTA"
"31","2","CO",1,"cohr22fl.dta","coir22fl.dta",NA,"copr22fl.dta","COWI22FL.DTA"
"32","2","DR",1,"DRHR21FL.DTA","DRIR21FL.DTA",NA,"DRPR21FL.DTA",NA
"33","2","EG",1,"EGHR21FL.DTA","EGIR21FL.DTA","EGGE22FL.shp","EGPR21FL.DTA",NA
"34","2","IA",1,"IAHR23FL.DTA","IAIR23FL.DTA",NA,"IAPR23FL.DTA","IAWI22FL.DTA"
"35","2","ID",1,"IDHR21FL.DTA","IDIR21FL.DTA",NA,"IDPR21FL.DTA",NA
"36","2","JO",1,"JOHR21FL.DTA","JOIR21FL.DTA",NA,"JOPR21FL.DTA","JOWI21FL.DTA"
"37","2","MA",1,"MAHR21FL.DTA","MAIR21FL.DTA",NA,"MAPR21FL.DTA","MAWI21FL.DTA"
"38","2","MD",1,"MDHR21FL.DTA","MDIR21FL.DTA",NA,"MDPR21FL.DTA",NA
"39","2","MW",1,"MWHR22FL.DTA","MWIR22FL.DTA",NA,"MWPR22FL.DTA","MWWI22FL.DTA"
"40","2","NG",1,"NGHR21FL.DTA","NGIR21FL.DTA","NGGE23FL.shp","NGPR21FL.DTA","NGWI21FL.DTA"
"41","2","NI",1,"NIHR22FL.DTA","NIIR22FL.DTA","NIGE23FL.shp","NIPR22FL.DTA",NA
"42","2","NM",1,"NMHR21FL.DTA","NMIR21FL.DTA",NA,"NMPR21FL.DTA","NMWI21FL.DTA"
"43","2","PE",1,"PEHR21FL.DTA","PEIR21FL.DTA",NA,"PEPR21FL.DTA","PEWI21FL.DTA"
"44","2","PK",1,"PKHR21FL.DTA","PKIR21FL.DTA",NA,"PKPR21FL.DTA","PKWI21FL.DTA"
"45","2","PY",1,"PYHR21FL.DTA","PYIR21FL.DTA",NA,"PYPR21FL.DTA","PYWI21FL.DTA"
"46","2","RW",1,"RWHR21FL.DTA","RWIR21FL.DTA",NA,"RWPR21FL.DTA","RWWI21FL.DTA"
"47","2","SN",1,"SNHR21FL.DTA","SNIR21FL.DTA","SNGE23FL.shp","SNPR21FL.DTA",NA
"48","2","TZ",1,"TZHR21FL.DTA","TZIR21FL.DTA",NA,"TZPR21FL.DTA",NA
"49","2","YE",1,"YEHR21FL.DTA","YEIR21FL.DTA",NA,"YEPR21FL.DTA",NA
"50","2","ZM",1,"ZMHR21FL.DTA","ZMIR21FL.DTA",NA,"ZMPR21FL.DTA",NA
"51","3","BD",1,"BDHR31FL.DTA","BDIR31FL.DTA",NA,"BDPR31FL.DTA","BDWI31FL.DTA"
"52","3","BD",2,"BDHR3AFL.DTA","BDIR3AFL.DTA",NA,"BDPR3AFL.DTA","BDWI3AFL.DTA"
"53","3","BF",1,"BFHR31FL.DTA","BFIR31FL.DTA","BFGE32FL.shp","BFPR31FL.DTA","BFWI31FL.DTA"
"54","3","BJ",1,"BJHR31FL.DTA","BJIR31FL.DTA","BJGE33FL.shp","BJPR31FL.DTA","BJWI31FL.DTA"
"55","3","BO",1,"BOHR31FL.DTA","BOIR31FL.DTA",NA,"BOPR31FL.DTA","BOWI31FL.DTA"
"56","3","BO",2,"BOHR3BFL.DTA","BOIR3BFL.DTA",NA,"BOPR3BFL.DTA","BOWI3BFL.DTA"
"57","3","BR",1,"BRHR31FL.DTA","BRIR31FL.DTA",NA,"BRPR31FL.DTA","BRWI31FL.DTA"
"58","3","CF",1,"CFHR31FL.DTA","CFIR31FL.DTA","CFGE33FL.shp","CFPR31FL.DTA","CFWI31FL.DTA"
"59","3","CI",1,"CIHR35FL.DTA","CIIR35FL.DTA","CIGE33FL.shp","CIPR35FL.DTA","CIWI34FL.DTA"
"60","3","CI",2,"CIHR3AFL.DTA","CIIR3AFL.DTA","CIGE3BFL.shp","CIPR3AFL.DTA","CIWI3AFL.DTA"
"61","3","CM",1,"CMHR31FL.DTA","CMIR31FL.DTA",NA,"CMPR31FL.DTA","CMWI31FL.DTA"
"62","3","CO",1,"COHR31FL.DTA","COIR31FL.DTA",NA,"COPR31FL.DTA","COWI31FL.DTA"
"63","3","DR",1,"DRHR32FL.DTA","DRIR32FL.DTA",NA,"DRPR32FL.DTA","DRWI32FL.DTA"
"64","3","EG",1,"EGHR33FL.DTA","EGIR33FL.DTA","EGGE32FL.shp","EGPR33FL.DTA","EGWI32FL.DTA"
"65","3","GH",1,"GHHR31FL.DTA","GHIR31FL.DTA","GHGE33FL.shp","GHPR31FL.DTA","GHWI31FL.DTA"
"66","3","GU",1,"GUHR34FL.DTA","GUIR34FL.DTA",NA,"GUPR34FL.DTA","GUWI33FL.DTA"
"67","3","HT",1,"HTHR31FL.DTA","HTIR31FL.DTA",NA,"HTPR31FL.DTA","HTWI31FL.DTA"
"68","3","ID",1,"IDHR31FL.DTA","IDIR31FL.DTA",NA,"IDPR31FL.DTA",NA
"69","3","ID",2,"IDHR3AFL.DTA","IDIR3AFL.DTA",NA,"IDPR3AFL.DTA","IDWI3AFL.DTA"
"70","3","JO",1,"JOHR31FL.DTA","JOIR31FL.DTA",NA,"JOPR31FL.DTA","JOWI31FL.DTA"
"71","3","KE",1,"KEHR33FL.DTA","KEIR33FL.DTA",NA,"KEPR33FL.DTA","KEWI31FL.DTA"
"72","3","KE",2,"KEHR3AFL.DTA","KEIR3AFL.DTA",NA,"KEPR3AFL.DTA","KEWI3AFL.DTA"
"73","3","KK",1,"KKHR31FL.DTA","KKIR31FL.DTA",NA,"KKPR31FL.DTA","KKWI31FL.DTA"
"74","3","KM",1,"KMHR32FL.DTA","KMIR32FL.DTA",NA,"KMPR32FL.DTA","KMWI32FL.DTA"
"75","3","KY",1,"KYHR31FL.DTA","KYIR31FL.DTA",NA,"KYPR31FL.DTA","KYWI31FL.DTA"
"76","3","MD",1,"MDHR31FL.DTA","MDIR31FL.DTA","MDGE32FL.shp","MDPR31FL.DTA","MDWI31FL.DTA"
"77","3","ML",1,"MLHR32FL.DTA","MLIR32FL.DTA","MLGE33FL.shp","MLPR32FL.DTA","MLWI32FL.DTA"
"78","3","MZ",1,"MZHR31FL.DTA","MZIR31FL.DTA",NA,"MZPR31FL.DTA","MZWI31FL.DTA"
"79","3","NC",1,"NCHR31FL.DTA","NCIR31FL.DTA",NA,"NCPR31FL.DTA","NCWI31FL.DTA"
"80","3","NI",1,"NIHR31FL.DTA","NIIR31FL.DTA","NIGE32FL.shp","NIPR31FL.DTA","NIWI31FL.DTA"
"81","3","NP",1,"NPHR31FL.DTA","NPIR31FL.DTA",NA,"NPPR31FL.DTA","NPWI31FL.DTA"
"82","3","PE",1,"PEHR31FL.DTA","PEIR31FL.DTA",NA,"PEPR31FL.DTA","PEWI31FL.DTA"
"83","3","PH",1,"PHHR31FL.DTA","PHIR31FL.DTA",NA,"PHPR31FL.DTA","PHWI31FL.DTA"
"84","3","PH",2,"PHHR3BFL.DTA","PHIR3BFL.DTA",NA,"PHPR3BFL.DTA","PHWI3AFL.DTA"
"85","3","SN",1,"SNHR32FL.DTA","SNIR32FL.DTA","SNGE32FL.shp","SNPR32FL.DTA","SNWI32FL.DTA"
"86","3","TD",1,"TDHR31FL.DTA","TDIR31FL.DTA",NA,"TDPR31FL.DTA","TDWI31FL.DTA"
