codelabel,var
ag2;;age,age
ag2;;age de l'enfant,age
ag2;;age de l'enfant (en années révolues),age
ag2;;age enfant,age
ag2;;age of child,age
ag2;;edad (en años completos),age
ag2;;edad del niño,age
ag2;;edad del niño/a,age
ag2;;how old is (name)?,age
ag2;;idade da crianã‡a,age
ag2;;idade da criança,age
ag2;;uf1ab. edad del niño,age
ag2a;;age en mois de l'enfant,age
ag2a;;estimation de l'age (en mois révolus),age
ag2c;;imputed age of child (months),age
ag2m;;age of child in months,age
ag2n;;age de l'enfant,age
ag2u;;age de l'enfant unité,age
ag2y;;age of child in years,age
age;;,age
age;;age,age
age;;age en mois de l'enfant,age
age;;anos,age
age;;edad (en meses),age
age_group;;age groups (5 years),age
age1;;,age
age2;;age,age
age70;;,age
agem;;age en mois,age
agemois;;age in months,age
agemois;;idade calculado em meses para criança menos de 5,age
an4;;age of child,age
at4;;child's age,age
b5r2;;age,age
br2;;age,age
br2;;age (année revolue),age
br2;;age (annee revolues),age
br2;;age (completed years),age
br2;;age (en annee revolues),age
br2;;age de l'enfant,age
br2;;age en ann‚es,age
br2;;age of children under five years,age
br2;;edad del niño,age
br2;;edad del niño/a (años completos),age
br5;;age child,age
ca12;;age of child (filter),age
cage;;age,age
cage;;age (en mois),age
cage;;age (in months),age
cage;;age (mois),age
cage;;âge (mois),age
cage;;age (months from cmc calculation),age
cage;;age (months),age
cage;;age by months,age
cage;;age en mois,age
cage;;child age group,age
cage;;edad (meses),age
cage;;idade (mes),age
cage;;idade (meses),age
cage_11;;age,age
cage_11;;âge,age
cage_11;;age (en mois),age
cage_11;;age (in months),age
cage_11;;age by 11 months,age
cage_11;;age cat 11,age
cage_11;;age de l'enfant,age
cage_11;;age group,age
cage_11;;edad,age
cage_11;;edad (meses),age
cage_11;;idade,age
cage_11_an;;edad cuando se hicieron mediciones antropométricas,age
cage_1159n;;age group,age
cage_2359n;;age group,age
cage_5;;age,age
cage_6;;age,age
cage_6;;âge,age
cage_6;;age (en mois),age
cage_6;;age (from cmc calculations),age
cage_6;;age (in months),age
cage_6;;age (months),age
cage_6;;age by 6 months,age
cage_6;;age cat 6,age
cage_6;;age de l'enfant,age
cage_6;;age group,age
cage_6;;child age group,age
cage_6;;edad,age
cage_6;;edad (meses),age
cage_6;;idade,age
cage_6;;tranche d'age en mois,age
cage_6_an;;edad cuando se hicieron mediciones antropométricas,age
cage_6m;;age,age
cage_an;;age (months) at measurement,age
cage_an;;edad  cuando se hicieron mediciones antropométricas (meses),age
cage1_6;;age enfant,age
cage11;;age,age
cage2;;,age
cage6;;age,age
hh7c;;age,age
hl5;;age,age
hl5;;edad,age
ag1c;;cmc date of birth of child,birthdate_cmc
cdob;;data de nasc. (cmc),birthdatecmc
cdob;;data de nascimento (cmc),birthdatecmc
cdob;;date de naissance (cmc),birthdatecmc
cdob;;date de naissance de l'enfant (cmc),birthdatecmc
cdob;;date de naissance enfant (cmc),birthdatecmc
cdob;;date naissance (cmc),birthdatecmc
cdob;;date of birth,birthdatecmc
cdob;;date of birth (cmc),birthdatecmc
cdob;;date of birth of child (cmc),birthdatecmc
cdob;;fecha de nacimiento (cmc),birthdatecmc
cdob;;fecha de nacimiento de niño,birthdatecmc
cdob;;fecha de nacimiento del niño (cmc),birthdatecmc
cdob;;fecha de nacimiento del niño/a (cmc),birthdatecmc
ag1_d;;date of birth: day,birthday
ag1d;;date of birth - day,birthday
ag1d;;date of birth: day,birthday
ag1d;;day of birth of child,birthday
ag1d;;día de nacimiento,birthday
ag1d;;dia de nacimiento del niño,birthday
ag1d;;día de nacimiento del niño,birthday
ag1d;;día de nacimiento del niño/a,birthday
ag1d;;dia de nascimento da crianã‡a,birthday
ag1d;;dia de nascimento da criança,birthday
ag1d;;jour de naissance de l'enfant,birthday
ag1d;;jour naissance enfant,birthday
br3d;;day of birth,birthday
br3d;;day of birth of child,birthday
br3d;;día de nacimiento,birthday
br3d;;dia de nacimiento del niño,birthday
br3d;;dia de nascimento,birthday
br3d;;jour,birthday
br3d;;jour de naissance,birthday
br3d;;jour de naissance de l'enfant,birthday
br3d;;jour naissance,birthday
br4d;;jour de naissance,birthday
hf9d;;day of birth,birthday
hf9d;;day of birth of child,birthday
hf9d;;year/month/day of birth day,birthday
ub1d;;day of birth of child,birthday
uf10d;;day,birthday
uf10d;;day of birth,birthday
uf10d;;day of birth of child,birthday
uf10d;;dia,birthday
uf10d;;dia de nacimiento del niño,birthday
uf10d;;jour de naissance de enfant,birthday
uf10d;;jour de naissance de l'enfant,birthday
uf10d;;uf10d. day of birth of child,birthday
uf10d;;uf10d.day of birth of child,birthday
ag1m;;date of birth - month,birthmonth
ag1m;;date of birth: month,birthmonth
ag1m;;mes de nacimiento del niño,birthmonth
ag1m;;mes de nacimiento del niño/a,birthmonth
ag1m;;mes de nascimento da crianã‡a,birthmonth
ag1m;;mês de nascimento da criança,birthmonth
ag1m;;mois de naissance de l'enfant,birthmonth
ag1m;;mois naissance enfant,birthmonth
ag1m;;month of birth of child,birthmonth
ag1m;;uf1a. mes de nacimiento del niño,birthmonth
